Dish,Review,Sentiment
Vada,The Vada was highly recommended and I really enjoyed it.,1
Masala Dosa,The Masala Dosa was not fresh however it had some very tasty elements.,0
Manchurian,The Manchurian was too salty though it had some super satisfying elements.,0
Vada,The Vada was perfectly cooked and I really enjoyed it.,1
Coffee,The Coffee was mouth watering although slightly not worth the price.,1
Pizza,The Pizza was highly recommended and I really enjoyed it.,1
Dal Tadka,The Dal Tadka was not fresh although it had some highly recommended elements.,0
Rajma,The Rajma was cold when served although it had some absolutely delicious elements.,0
Orange Juice,The Orange Juice was mouth watering and I really enjoyed it.,1
Pizza,The Pizza was absolutely delicious and I really enjoyed it.,1
Dal Tadka,The Dal Tadka was overcooked and I did not like it.,0
Pakora,The Pakora was mouth watering and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was fantastic flavor and I really enjoyed it.,1
Butter Chicken,The Butter Chicken was not fresh however it had some loved it elements.,0
Chicken Curry,The Chicken Curry was very oily and I did not like it.,0
Mango Juice,The Mango Juice was too dry and I did not like it.,0
Butter Chicken,The Butter Chicken was great texture and I really enjoyed it.,1
Mango Juice,The Mango Juice was overcooked and I did not like it.,0
Rajma,The Rajma was super satisfying however slightly not worth the price.,1
Masala Dosa,The Masala Dosa was great texture and I really enjoyed it.,1
French Fries,The French Fries was undercooked though it had some excellent quality elements.,0
Fried Rice,The Fried Rice was highly recommended and I really enjoyed it.,1
Burger,The Burger was mouth watering and I really enjoyed it.,1
Chicken Curry,The Chicken Curry was too spicy and I did not like it.,0
Vada,The Vada was very oily and I did not like it.,0
Tandoori Chicken,The Tandoori Chicken was very tasty however slightly too salty.,1
Roti,The Roti was excellent quality but slightly too spicy.,1
Sandwich,The Sandwich was mouth watering though slightly not fresh.,1
Hot Chocolate,The Hot Chocolate was not worth the price although it had some absolutely delicious elements.,0
Pakora,The Pakora was bland and tasteless and I did not like it.,0
Paneer Butter Masala,The Paneer Butter Masala was overcooked and I did not like it.,0
Aloo Paratha,The Aloo Paratha was mouth watering and I really enjoyed it.,1
Rasgulla,The Rasgulla was not worth the price and I did not like it.,0
Mutton Biryani,The Mutton Biryani was very oily and I did not like it.,0
Veg Pulao,The Veg Pulao was rich and flavorful although slightly too dry.,1
Chicken Curry,The Chicken Curry was excellent quality although slightly too dry.,1
Vada,The Vada was bland and tasteless though it had some absolutely delicious elements.,0
Mango Juice,The Mango Juice was excellent quality and I really enjoyed it.,1
Prawn Fry,The Prawn Fry was very oily but it had some highly recommended elements.,0
Pongal,The Pongal was bland and tasteless though it had some fantastic flavor elements.,0
Pongal,The Pongal was not worth the price and I did not like it.,0
Pakora,The Pakora was not worth the price but it had some fantastic flavor elements.,0
Pav Bhaji,The Pav Bhaji was very oily although it had some loved it elements.,0
Prawn Fry,The Prawn Fry was super satisfying and I really enjoyed it.,1
Idli,The Idli was super satisfying but slightly overcooked.,1
Pizza,The Pizza was excellent quality but slightly bland and tasteless.,1
Prawn Fry,The Prawn Fry was highly recommended and I really enjoyed it.,1
Paneer Butter Masala,The Paneer Butter Masala was not fresh though it had some rich and flavorful elements.,0
Veg Biryani,The Veg Biryani was perfectly cooked and I really enjoyed it.,1
Fried Rice,The Fried Rice was overcooked and I did not like it.,0
Pav Bhaji,The Pav Bhaji was highly recommended and I really enjoyed it.,1
Orange Juice,The Orange Juice was absolutely delicious however slightly not fresh.,1
Lassi,The Lassi was burnt taste and I did not like it.,0
Rajma,The Rajma was extremely fresh although slightly poor quality.,1
Manchurian,The Manchurian was too salty and I did not like it.,0
Sandwich,The Sandwich was not fresh although it had some perfectly cooked elements.,0
Roti,The Roti was super satisfying and I really enjoyed it.,1
Lassi,The Lassi was too dry and I did not like it.,0
Fish Curry,The Fish Curry was poor quality and I did not like it.,0
Prawn Fry,The Prawn Fry was bland and tasteless and I did not like it.,0
Malai Kofta,The Malai Kofta was very oily and I did not like it.,0
Fish Curry,The Fish Curry was great texture however slightly too dry.,1
Aloo Paratha,The Aloo Paratha was poor quality and I did not like it.,0
Orange Juice,The Orange Juice was super satisfying and I really enjoyed it.,1
Burger,The Burger was fantastic flavor but slightly not fresh.,1
Egg Biryani,The Egg Biryani was excellent quality although slightly bland and tasteless.,1
Mutton Biryani,The Mutton Biryani was burnt taste and I did not like it.,0
Tandoori Chicken,The Tandoori Chicken was too spicy and I did not like it.,0
Ice Cream,The Ice Cream was very tasty and I really enjoyed it.,1
Veg Pulao,The Veg Pulao was great texture and I really enjoyed it.,1
Gobi Manchurian,The Gobi Manchurian was not worth the price however it had some excellent quality elements.,0
Rasgulla,The Rasgulla was bland and tasteless but it had some loved it elements.,0
Masala Dosa,The Masala Dosa was fantastic flavor and I really enjoyed it.,1
Veg Biryani,The Veg Biryani was undercooked however it had some perfectly cooked elements.,0
Tandoori Chicken,The Tandoori Chicken was too salty and I did not like it.,0
Pav Bhaji,The Pav Bhaji was cold when served though it had some rich and flavorful elements.,0
Paneer Butter Masala,The Paneer Butter Masala was undercooked and I did not like it.,0
Coffee,The Coffee was excellent quality and I really enjoyed it.,1
Vada,The Vada was extremely fresh but slightly undercooked.,1
Fish Curry,The Fish Curry was highly recommended and I really enjoyed it.,1
Pizza,The Pizza was extremely fresh and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was perfectly cooked though slightly bland and tasteless.,1
Tandoori Chicken,The Tandoori Chicken was too salty and I did not like it.,0
Orange Juice,The Orange Juice was overcooked and I did not like it.,0
Gulab Jamun,The Gulab Jamun was super satisfying however slightly burnt taste.,1
Mutton Biryani,The Mutton Biryani was not fresh however it had some extremely fresh elements.,0
Chole Bhature,The Chole Bhature was not worth the price however it had some perfectly cooked elements.,0
Gobi Manchurian,The Gobi Manchurian was bland and tasteless but it had some very tasty elements.,0
Chole Bhature,The Chole Bhature was super satisfying but slightly too dry.,1
Lassi,The Lassi was very tasty although slightly burnt taste.,1
Coffee,The Coffee was loved it and I really enjoyed it.,1
Orange Juice,The Orange Juice was very tasty and I really enjoyed it.,1
Noodles,The Noodles was absolutely delicious and I really enjoyed it.,1
Masala Dosa,The Masala Dosa was very oily however it had some mouth watering elements.,0
Aloo Paratha,The Aloo Paratha was not worth the price and I did not like it.,0
Chole Bhature,The Chole Bhature was not fresh but it had some very tasty elements.,0
Orange Juice,The Orange Juice was super satisfying and I really enjoyed it.,1
Veg Biryani,The Veg Biryani was rich and flavorful although slightly too dry.,1
Idli,The Idli was extremely fresh and I really enjoyed it.,1
Prawn Fry,The Prawn Fry was mouth watering and I really enjoyed it.,1
French Fries,The French Fries was poor quality and I did not like it.,0
Chicken Curry,The Chicken Curry was excellent quality though slightly cold when served.,1
Spring Roll,The Spring Roll was very oily though it had some excellent quality elements.,0
Gulab Jamun,The Gulab Jamun was too dry and I did not like it.,0
Cold Coffee,The Cold Coffee was very tasty and I really enjoyed it.,1
Butter Chicken,The Butter Chicken was burnt taste though it had some fantastic flavor elements.,0
Kadai Paneer,The Kadai Paneer was burnt taste though it had some mouth watering elements.,0
Milkshake,The Milkshake was too dry and I did not like it.,0
Fried Rice,The Fried Rice was too spicy and I did not like it.,0
Samosa,The Samosa was loved it although slightly poor quality.,1
Orange Juice,The Orange Juice was too spicy and I did not like it.,0
Noodles,The Noodles was overcooked and I did not like it.,0
Chicken Biryani,The Chicken Biryani was not worth the price and I did not like it.,0
Malai Kofta,The Malai Kofta was not worth the price however it had some fantastic flavor elements.,0
Samosa,The Samosa was great texture but slightly burnt taste.,1
Manchurian,The Manchurian was loved it but slightly poor quality.,1
Hot Chocolate,The Hot Chocolate was rich and flavorful and I really enjoyed it.,1
Spring Roll,The Spring Roll was absolutely delicious and I really enjoyed it.,1
Brownie,The Brownie was excellent quality but slightly cold when served.,1
Pizza,The Pizza was bland and tasteless and I did not like it.,0
Mutton Biryani,The Mutton Biryani was cold when served and I did not like it.,0
Vada,The Vada was poor quality and I did not like it.,0
Veg Pulao,The Veg Pulao was excellent quality although slightly bland and tasteless.,1
Cold Coffee,The Cold Coffee was highly recommended and I really enjoyed it.,1
Coffee,The Coffee was super satisfying though slightly cold when served.,1
Egg Biryani,The Egg Biryani was overcooked but it had some loved it elements.,0
Sandwich,The Sandwich was extremely fresh and I really enjoyed it.,1
Milkshake,The Milkshake was cold when served but it had some excellent quality elements.,0
Malai Kofta,The Malai Kofta was too spicy and I did not like it.,0
Burger,The Burger was excellent quality although slightly very oily.,1
Malai Kofta,The Malai Kofta was very tasty though slightly not worth the price.,1
Coffee,The Coffee was very tasty though slightly burnt taste.,1
Chicken Curry,The Chicken Curry was great texture however slightly burnt taste.,1
Cold Coffee,The Cold Coffee was undercooked and I did not like it.,0
Mutton Biryani,The Mutton Biryani was very tasty and I really enjoyed it.,1
Malai Kofta,The Malai Kofta was absolutely delicious however slightly too spicy.,1
Pizza,The Pizza was too spicy although it had some fantastic flavor elements.,0
Aloo Paratha,The Aloo Paratha was fantastic flavor but slightly too spicy.,1
Milkshake,The Milkshake was overcooked and I did not like it.,0
Ice Cream,The Ice Cream was bland and tasteless and I did not like it.,0
Upma,The Upma was undercooked but it had some super satisfying elements.,0
Gulab Jamun,The Gulab Jamun was not worth the price however it had some loved it elements.,0
Fried Rice,The Fried Rice was very oily and I did not like it.,0
Fried Rice,The Fried Rice was undercooked though it had some perfectly cooked elements.,0
Chole Bhature,The Chole Bhature was super satisfying but slightly cold when served.,1
Paneer Butter Masala,The Paneer Butter Masala was mouth watering and I really enjoyed it.,1
Gobi Manchurian,The Gobi Manchurian was rich and flavorful though slightly too dry.,1
Milkshake,The Milkshake was undercooked and I did not like it.,0
Dosa,The Dosa was super satisfying but slightly bland and tasteless.,1
Mutton Biryani,The Mutton Biryani was too dry though it had some mouth watering elements.,0
Aloo Paratha,The Aloo Paratha was too salty and I did not like it.,0
Lassi,The Lassi was poor quality and I did not like it.,0
Mutton Biryani,The Mutton Biryani was rich and flavorful and I really enjoyed it.,1
Cold Coffee,The Cold Coffee was perfectly cooked though slightly too dry.,1
Prawn Fry,The Prawn Fry was very oily and I did not like it.,0
Manchurian,The Manchurian was fantastic flavor although slightly overcooked.,1
Brownie,The Brownie was very oily although it had some absolutely delicious elements.,0
Chicken Curry,The Chicken Curry was very tasty and I really enjoyed it.,1
Pongal,The Pongal was super satisfying however slightly too salty.,1
Noodles,The Noodles was fantastic flavor although slightly undercooked.,1
Vada,The Vada was not worth the price and I did not like it.,0
Pongal,The Pongal was cold when served and I did not like it.,0
Fried Rice,The Fried Rice was great texture and I really enjoyed it.,1
Pizza,The Pizza was too salty although it had some excellent quality elements.,0
Orange Juice,The Orange Juice was great texture and I really enjoyed it.,1
Orange Juice,The Orange Juice was undercooked however it had some extremely fresh elements.,0
Gulab Jamun,The Gulab Jamun was not fresh but it had some excellent quality elements.,0
Rajma,The Rajma was excellent quality but slightly too salty.,1
Chole Bhature,The Chole Bhature was bland and tasteless and I did not like it.,0
Pakora,The Pakora was extremely fresh though slightly poor quality.,1
Manchurian,The Manchurian was great texture however slightly not fresh.,1
Egg Biryani,The Egg Biryani was rich and flavorful however slightly very oily.,1
Paneer Butter Masala,The Paneer Butter Masala was rich and flavorful however slightly undercooked.,1
Prawn Fry,The Prawn Fry was bland and tasteless and I did not like it.,0
Chicken Biryani,The Chicken Biryani was very tasty and I really enjoyed it.,1
Dosa,The Dosa was undercooked although it had some absolutely delicious elements.,0
Egg Biryani,The Egg Biryani was loved it and I really enjoyed it.,1
Manchurian,The Manchurian was burnt taste but it had some excellent quality elements.,0
Brownie,The Brownie was very tasty and I really enjoyed it.,1
Spring Roll,The Spring Roll was bland and tasteless and I did not like it.,0
Coffee,The Coffee was burnt taste and I did not like it.,0
Chicken Curry,The Chicken Curry was great texture and I really enjoyed it.,1
Tandoori Chicken,The Tandoori Chicken was very tasty and I really enjoyed it.,1
Ice Cream,The Ice Cream was cold when served though it had some fantastic flavor elements.,0
Chole Bhature,The Chole Bhature was cold when served and I did not like it.,0
Manchurian,The Manchurian was very oily and I did not like it.,0
Pav Bhaji,The Pav Bhaji was poor quality but it had some perfectly cooked elements.,0
Dosa,The Dosa was highly recommended but slightly not fresh.,1
Burger,The Burger was perfectly cooked and I really enjoyed it.,1
Noodles,The Noodles was poor quality and I did not like it.,0
Fried Rice,The Fried Rice was very tasty although slightly poor quality.,1
Aloo Paratha,The Aloo Paratha was poor quality and I did not like it.,0
Fried Rice,The Fried Rice was extremely fresh and I really enjoyed it.,1
Samosa,The Samosa was poor quality but it had some rich and flavorful elements.,0
Veg Pulao,The Veg Pulao was bland and tasteless although it had some fantastic flavor elements.,0
Veg Pulao,The Veg Pulao was perfectly cooked however slightly bland and tasteless.,1
Momos,The Momos was too spicy and I did not like it.,0
Chicken Curry,The Chicken Curry was extremely fresh however slightly undercooked.,1
Roti,The Roti was rich and flavorful and I really enjoyed it.,1
Mango Juice,The Mango Juice was not fresh and I did not like it.,0
Egg Biryani,The Egg Biryani was very oily although it had some perfectly cooked elements.,0
Chicken Biryani,The Chicken Biryani was overcooked and I did not like it.,0
Mutton Biryani,The Mutton Biryani was too spicy and I did not like it.,0
Cold Coffee,The Cold Coffee was extremely fresh but slightly not worth the price.,1
Chole Bhature,The Chole Bhature was loved it and I really enjoyed it.,1
Rajma,The Rajma was bland and tasteless however it had some mouth watering elements.,0
Mutton Biryani,The Mutton Biryani was very oily although it had some perfectly cooked elements.,0
Pizza,The Pizza was fantastic flavor though slightly too salty.,1
Orange Juice,The Orange Juice was poor quality although it had some great texture elements.,0
Lassi,The Lassi was extremely fresh and I really enjoyed it.,1
Gobi Manchurian,The Gobi Manchurian was mouth watering but slightly very oily.,1
Kadai Paneer,The Kadai Paneer was bland and tasteless and I did not like it.,0
Ice Cream,The Ice Cream was rich and flavorful however slightly not worth the price.,1
Milkshake,The Milkshake was fantastic flavor but slightly burnt taste.,1
Lassi,The Lassi was very oily and I did not like it.,0
Paneer Butter Masala,The Paneer Butter Masala was great texture though slightly too spicy.,1
Paneer Butter Masala,The Paneer Butter Masala was fantastic flavor but slightly overcooked.,1
Malai Kofta,The Malai Kofta was burnt taste and I did not like it.,0
Fried Rice,The Fried Rice was mouth watering and I really enjoyed it.,1
Orange Juice,The Orange Juice was very oily but it had some fantastic flavor elements.,0
Rajma,The Rajma was very tasty and I really enjoyed it.,1
Lassi,The Lassi was cold when served although it had some fantastic flavor elements.,0
Roti,The Roti was mouth watering and I really enjoyed it.,1
Egg Biryani,The Egg Biryani was too spicy and I did not like it.,0
Pizza,The Pizza was overcooked though it had some perfectly cooked elements.,0
Mutton Biryani,The Mutton Biryani was cold when served however it had some mouth watering elements.,0
Chicken Biryani,The Chicken Biryani was very tasty but slightly overcooked.,1
Dal Tadka,The Dal Tadka was fantastic flavor and I really enjoyed it.,1
Vada,The Vada was perfectly cooked and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was mouth watering however slightly too dry.,1
Pongal,The Pongal was fantastic flavor and I really enjoyed it.,1
Ice Cream,The Ice Cream was fantastic flavor and I really enjoyed it.,1
Manchurian,The Manchurian was bland and tasteless but it had some excellent quality elements.,0
Roti,The Roti was excellent quality and I really enjoyed it.,1
Rajma,The Rajma was perfectly cooked and I really enjoyed it.,1
Upma,The Upma was mouth watering and I really enjoyed it.,1
Tea,The Tea was highly recommended and I really enjoyed it.,1
Tandoori Chicken,The Tandoori Chicken was excellent quality and I really enjoyed it.,1
Gobi Manchurian,The Gobi Manchurian was absolutely delicious though slightly too dry.,1
Burger,The Burger was extremely fresh however slightly poor quality.,1
Sandwich,The Sandwich was bland and tasteless although it had some great texture elements.,0
Momos,The Momos was too dry although it had some very tasty elements.,0
Spring Roll,The Spring Roll was great texture although slightly overcooked.,1
Cold Coffee,The Cold Coffee was excellent quality however slightly undercooked.,1
Manchurian,The Manchurian was great texture and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was very oily and I did not like it.,0
Hot Chocolate,The Hot Chocolate was bland and tasteless however it had some extremely fresh elements.,0
Milkshake,The Milkshake was bland and tasteless though it had some excellent quality elements.,0
Idli,The Idli was overcooked and I did not like it.,0
Pizza,The Pizza was not worth the price and I did not like it.,0
Egg Biryani,The Egg Biryani was absolutely delicious and I really enjoyed it.,1
Gobi Manchurian,The Gobi Manchurian was poor quality and I did not like it.,0
Upma,The Upma was burnt taste and I did not like it.,0
Chole Bhature,The Chole Bhature was bland and tasteless although it had some great texture elements.,0
Malai Kofta,The Malai Kofta was great texture but slightly bland and tasteless.,1
Roti,The Roti was rich and flavorful and I really enjoyed it.,1
Chicken Curry,The Chicken Curry was loved it but slightly overcooked.,1
Masala Dosa,The Masala Dosa was poor quality but it had some rich and flavorful elements.,0
Coffee,The Coffee was poor quality though it had some super satisfying elements.,0
Aloo Paratha,The Aloo Paratha was very oily however it had some excellent quality elements.,0
Mutton Biryani,The Mutton Biryani was not worth the price though it had some super satisfying elements.,0
Cold Coffee,The Cold Coffee was bland and tasteless however it had some rich and flavorful elements.,0
Dal Tadka,The Dal Tadka was excellent quality although slightly burnt taste.,1
Momos,The Momos was not fresh and I did not like it.,0
Fried Rice,The Fried Rice was excellent quality and I really enjoyed it.,1
Veg Biryani,The Veg Biryani was absolutely delicious although slightly too salty.,1
Orange Juice,The Orange Juice was absolutely delicious although slightly too salty.,1
Coffee,The Coffee was highly recommended but slightly too dry.,1
Dal Tadka,The Dal Tadka was great texture though slightly undercooked.,1
Rajma,The Rajma was great texture although slightly poor quality.,1
Lassi,The Lassi was rich and flavorful although slightly overcooked.,1
Paneer Butter Masala,The Paneer Butter Masala was overcooked although it had some loved it elements.,0
Prawn Fry,The Prawn Fry was rich and flavorful though slightly too salty.,1
Spring Roll,The Spring Roll was cold when served and I did not like it.,0
Pizza,The Pizza was undercooked and I did not like it.,0
Butter Chicken,The Butter Chicken was not fresh and I did not like it.,0
Kadai Paneer,The Kadai Paneer was extremely fresh but slightly too dry.,1
Pav Bhaji,The Pav Bhaji was mouth watering but slightly burnt taste.,1
Vada,The Vada was very tasty and I really enjoyed it.,1
Malai Kofta,The Malai Kofta was too dry and I did not like it.,0
Mango Juice,The Mango Juice was absolutely delicious though slightly too salty.,1
Egg Biryani,The Egg Biryani was mouth watering although slightly bland and tasteless.,1
Orange Juice,The Orange Juice was mouth watering but slightly burnt taste.,1
Vada,The Vada was extremely fresh and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was excellent quality though slightly too salty.,1
Prawn Fry,The Prawn Fry was too dry and I did not like it.,0
Prawn Fry,The Prawn Fry was highly recommended but slightly burnt taste.,1
Spring Roll,The Spring Roll was very tasty and I really enjoyed it.,1
Roti,The Roti was bland and tasteless though it had some absolutely delicious elements.,0
Lassi,The Lassi was overcooked and I did not like it.,0
Milkshake,The Milkshake was not fresh although it had some loved it elements.,0
Burger,The Burger was too dry however it had some great texture elements.,0
Mutton Biryani,The Mutton Biryani was poor quality and I did not like it.,0
Chole Bhature,The Chole Bhature was poor quality and I did not like it.,0
Upma,The Upma was highly recommended and I really enjoyed it.,1
Tea,The Tea was cold when served and I did not like it.,0
Chicken Curry,The Chicken Curry was fantastic flavor and I really enjoyed it.,1
Spring Roll,The Spring Roll was very tasty and I really enjoyed it.,1
Pav Bhaji,The Pav Bhaji was poor quality and I did not like it.,0
Chicken Curry,The Chicken Curry was overcooked and I did not like it.,0
Pongal,The Pongal was too salty and I did not like it.,0
French Fries,The French Fries was absolutely delicious however slightly cold when served.,1
Mango Juice,The Mango Juice was undercooked but it had some super satisfying elements.,0
Mango Juice,The Mango Juice was not worth the price though it had some very tasty elements.,0
Roti,The Roti was too dry and I did not like it.,0
Malai Kofta,The Malai Kofta was super satisfying and I really enjoyed it.,1
Pizza,The Pizza was great texture although slightly undercooked.,1
Malai Kofta,The Malai Kofta was not worth the price and I did not like it.,0
Kadai Paneer,The Kadai Paneer was mouth watering but slightly overcooked.,1
Samosa,The Samosa was too dry and I did not like it.,0
Pongal,The Pongal was burnt taste and I did not like it.,0
Chole Bhature,The Chole Bhature was very oily however it had some absolutely delicious elements.,0
Coffee,The Coffee was undercooked however it had some very tasty elements.,0
Dosa,The Dosa was too spicy however it had some mouth watering elements.,0
Masala Dosa,The Masala Dosa was too dry and I did not like it.,0
Aloo Paratha,The Aloo Paratha was very oily though it had some absolutely delicious elements.,0
Aloo Paratha,The Aloo Paratha was overcooked and I did not like it.,0
Noodles,The Noodles was too spicy though it had some very tasty elements.,0
Momos,The Momos was bland and tasteless but it had some highly recommended elements.,0
Chole Bhature,The Chole Bhature was too dry although it had some absolutely delicious elements.,0
Cold Coffee,The Cold Coffee was too salty and I did not like it.,0
Egg Biryani,The Egg Biryani was excellent quality although slightly too salty.,1
Prawn Fry,The Prawn Fry was rich and flavorful but slightly too spicy.,1
Pizza,The Pizza was not worth the price however it had some absolutely delicious elements.,0
Gulab Jamun,The Gulab Jamun was too spicy and I did not like it.,0
Veg Biryani,The Veg Biryani was poor quality although it had some excellent quality elements.,0
Idli,The Idli was overcooked but it had some great texture elements.,0
Prawn Fry,The Prawn Fry was absolutely delicious and I really enjoyed it.,1
Ice Cream,The Ice Cream was burnt taste and I did not like it.,0
Butter Chicken,The Butter Chicken was burnt taste however it had some rich and flavorful elements.,0
Roti,The Roti was fantastic flavor however slightly too dry.,1
Upma,The Upma was great texture but slightly bland and tasteless.,1
Ice Cream,The Ice Cream was perfectly cooked and I really enjoyed it.,1
Momos,The Momos was rich and flavorful and I really enjoyed it.,1
Gulab Jamun,The Gulab Jamun was undercooked and I did not like it.,0
Chicken Curry,The Chicken Curry was absolutely delicious although slightly very oily.,1
Masala Dosa,The Masala Dosa was too spicy and I did not like it.,0
Gobi Manchurian,The Gobi Manchurian was fantastic flavor and I really enjoyed it.,1
Egg Biryani,The Egg Biryani was bland and tasteless and I did not like it.,0
Momos,The Momos was not worth the price but it had some excellent quality elements.,0
Vada,The Vada was loved it and I really enjoyed it.,1
Upma,The Upma was too spicy though it had some highly recommended elements.,0
Fish Curry,The Fish Curry was too dry and I did not like it.,0
Mutton Biryani,The Mutton Biryani was burnt taste and I did not like it.,0
French Fries,The French Fries was burnt taste but it had some mouth watering elements.,0
Gulab Jamun,The Gulab Jamun was highly recommended and I really enjoyed it.,1
Masala Dosa,The Masala Dosa was perfectly cooked although slightly burnt taste.,1
Hot Chocolate,The Hot Chocolate was too spicy and I did not like it.,0
Veg Biryani,The Veg Biryani was cold when served and I did not like it.,0
Hot Chocolate,The Hot Chocolate was perfectly cooked and I really enjoyed it.,1
Coffee,The Coffee was fantastic flavor although slightly not fresh.,1
Idli,The Idli was extremely fresh although slightly poor quality.,1
Tea,The Tea was mouth watering though slightly bland and tasteless.,1
French Fries,The French Fries was excellent quality however slightly undercooked.,1
Masala Dosa,The Masala Dosa was bland and tasteless although it had some very tasty elements.,0
Upma,The Upma was absolutely delicious however slightly very oily.,1
Cold Coffee,The Cold Coffee was perfectly cooked and I really enjoyed it.,1
Dosa,The Dosa was poor quality though it had some excellent quality elements.,0
Spring Roll,The Spring Roll was not fresh though it had some mouth watering elements.,0
Tea,The Tea was very oily though it had some excellent quality elements.,0
Mutton Biryani,The Mutton Biryani was bland and tasteless however it had some extremely fresh elements.,0
Vada,The Vada was highly recommended and I really enjoyed it.,1
Noodles,The Noodles was perfectly cooked but slightly too dry.,1
Mango Juice,The Mango Juice was not fresh but it had some absolutely delicious elements.,0
Masala Dosa,The Masala Dosa was rich and flavorful and I really enjoyed it.,1
Aloo Paratha,The Aloo Paratha was loved it and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was not fresh though it had some mouth watering elements.,0
Chole Bhature,The Chole Bhature was too salty and I did not like it.,0
Butter Chicken,The Butter Chicken was perfectly cooked and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was too salty however it had some loved it elements.,0
Sandwich,The Sandwich was excellent quality however slightly not worth the price.,1
Gulab Jamun,The Gulab Jamun was loved it however slightly too dry.,1
Cold Coffee,The Cold Coffee was excellent quality but slightly cold when served.,1
French Fries,The French Fries was overcooked and I did not like it.,0
Veg Pulao,The Veg Pulao was super satisfying though slightly not fresh.,1
Butter Chicken,The Butter Chicken was bland and tasteless and I did not like it.,0
Pongal,The Pongal was very tasty although slightly burnt taste.,1
Vada,The Vada was absolutely delicious and I really enjoyed it.,1
Veg Biryani,The Veg Biryani was not worth the price however it had some fantastic flavor elements.,0
Vada,The Vada was super satisfying and I really enjoyed it.,1
Malai Kofta,The Malai Kofta was very tasty though slightly too dry.,1
Roti,The Roti was not fresh and I did not like it.,0
Pongal,The Pongal was very tasty however slightly bland and tasteless.,1
Orange Juice,The Orange Juice was too dry however it had some great texture elements.,0
Brownie,The Brownie was very tasty and I really enjoyed it.,1
Gobi Manchurian,The Gobi Manchurian was highly recommended but slightly undercooked.,1
Cold Coffee,The Cold Coffee was great texture and I really enjoyed it.,1
Manchurian,The Manchurian was not worth the price and I did not like it.,0
Chole Bhature,The Chole Bhature was very oily and I did not like it.,0
Veg Biryani,The Veg Biryani was rich and flavorful and I really enjoyed it.,1
Brownie,The Brownie was poor quality and I did not like it.,0
Mutton Biryani,The Mutton Biryani was super satisfying but slightly poor quality.,1
Paneer Butter Masala,The Paneer Butter Masala was poor quality and I did not like it.,0
Gulab Jamun,The Gulab Jamun was too salty but it had some absolutely delicious elements.,0
Upma,The Upma was mouth watering and I really enjoyed it.,1
Pizza,The Pizza was undercooked and I did not like it.,0
Coffee,The Coffee was highly recommended and I really enjoyed it.,1
Coffee,The Coffee was burnt taste and I did not like it.,0
Egg Biryani,The Egg Biryani was undercooked but it had some perfectly cooked elements.,0
Egg Biryani,The Egg Biryani was undercooked and I did not like it.,0
Malai Kofta,The Malai Kofta was highly recommended and I really enjoyed it.,1
Cold Coffee,The Cold Coffee was loved it and I really enjoyed it.,1
Coffee,The Coffee was very oily but it had some super satisfying elements.,0
Fish Curry,The Fish Curry was too spicy however it had some fantastic flavor elements.,0
Sandwich,The Sandwich was not worth the price and I did not like it.,0
Rajma,The Rajma was rich and flavorful but slightly undercooked.,1
Tandoori Chicken,The Tandoori Chicken was very tasty though slightly overcooked.,1
Fish Curry,The Fish Curry was not worth the price however it had some very tasty elements.,0
Dosa,The Dosa was undercooked however it had some great texture elements.,0
Egg Biryani,The Egg Biryani was fantastic flavor but slightly cold when served.,1
Aloo Paratha,The Aloo Paratha was absolutely delicious and I really enjoyed it.,1
Malai Kofta,The Malai Kofta was very oily but it had some absolutely delicious elements.,0
Fish Curry,The Fish Curry was absolutely delicious and I really enjoyed it.,1
French Fries,The French Fries was perfectly cooked although slightly too spicy.,1
Manchurian,The Manchurian was very tasty although slightly too salty.,1
Egg Biryani,The Egg Biryani was absolutely delicious and I really enjoyed it.,1
Milkshake,The Milkshake was super satisfying though slightly too salty.,1
Lassi,The Lassi was too salty however it had some great texture elements.,0
Gobi Manchurian,The Gobi Manchurian was undercooked and I did not like it.,0
Milkshake,The Milkshake was absolutely delicious however slightly very oily.,1
Rasgulla,The Rasgulla was not fresh however it had some excellent quality elements.,0
Aloo Paratha,The Aloo Paratha was loved it and I really enjoyed it.,1
Orange Juice,The Orange Juice was not fresh and I did not like it.,0
Milkshake,The Milkshake was bland and tasteless and I did not like it.,0
Milkshake,The Milkshake was extremely fresh though slightly undercooked.,1
Malai Kofta,The Malai Kofta was too salty though it had some highly recommended elements.,0
Pakora,The Pakora was fantastic flavor although slightly overcooked.,1
Dosa,The Dosa was very oily though it had some great texture elements.,0
Kadai Paneer,The Kadai Paneer was poor quality but it had some absolutely delicious elements.,0
Paneer Butter Masala,The Paneer Butter Masala was mouth watering however slightly not worth the price.,1
Dosa,The Dosa was excellent quality however slightly overcooked.,1
Noodles,The Noodles was mouth watering and I really enjoyed it.,1
Malai Kofta,The Malai Kofta was not fresh and I did not like it.,0
Veg Pulao,The Veg Pulao was fantastic flavor however slightly too dry.,1
